"TEAM"	"POS.RANK"	"PLAYER"	"AGE"	"GP"	"W"	"L"	"MIN"	"PTS"	"FGM"	"FGA"	"FG_PCT"	"2PA"	"2PM"	"FG2_PCT"	"3PA"	"3PM"	"FG3_PCT"	"2PT_ATT_PER"	"3PT_ATT_PER"	"FTM"	"FTA"	"FT_PCT"	"PER_PTS_FT"	"PER_PTS_2P"	"PER_PTS_3P"	"OREB"	"DREB"	"REB"	"AST"	"TOV"	"STL"	"BLK"	"PF"	"FP"	"DD2"	"TD3"	"X..."	"POSITION"	"PLAYER_ID"	"RANK"	"color"	"team_color"
"56"	"BOS"	18	"Jaylen Brown"	23	50	33	17	34	20.4	7.6	15.4	49	9.8	5.5	56.12	5.6	2.1	38.1	63.64	36.36	3.2	4.3	73.6	15.69	53.92	30.88	1.1	5.3	6.4	2.2	2.3	1.1	0.3	3	33.3	6	0	3.9	"Forward"	1627759	26	"#D95F02"	"#008348"
"57"	"BOS"	11	"Jayson Tatum"	22	59	41	18	34.6	23.6	8.5	18.9	44.8	11.8	5.7	48.31	7.1	2.8	39.8	62.43	37.57	3.8	4.7	80.6	16.1	48.31	35.59	1	6.1	7.1	2.9	2.2	1.4	0.9	2.1	41.2	10	0	7.5	"Guard"	1628369	16	"#7570B3"	"#008348"
"58"	"BOS"	20	"Jaylen Brown"	23	50	33	17	34	20.4	7.6	15.4	49	9.8	5.5	56.12	5.6	2.1	38.1	63.64	36.36	3.2	4.3	73.6	15.69	53.92	30.88	1.1	5.3	6.4	2.2	2.3	1.1	0.3	3	33.3	6	0	3.9	"Guard"	1627759	26	"#7570B3"	"#008348"
"59"	"BOS"	11	"Jayson Tatum"	22	59	41	18	34.6	23.6	8.5	18.9	44.8	11.8	5.7	48.31	7.1	2.8	39.8	62.43	37.57	3.8	4.7	80.6	16.1	48.31	35.59	1	6.1	7.1	2.9	2.2	1.4	0.9	2.1	41.2	10	0	7.5	"Forward"	1628369	16	"#D95F02"	"#008348"
"60"	"BOS"	41	"Enes Kanter"	27	51	32	19	17.5	8.2	3.5	6.1	56.6	6	3.5	58.33	0.1	0	14.3	98.36	1.64	1.2	1.7	70.8	14.63	85.37	0	2.8	5	7.7	1	1	0.4	0.7	1.7	21.3	9	0	3.3	"Center"	202683	177	"#1B9E77"	"#008348"
"61"	"BOS"	90	"Vincent Poirier"	26	21	18	3	5.4	1.9	0.8	1.6	48.5	1.5	0.8	53.33	0.1	0	50	93.75	6.25	0.3	0.3	85.7	15.79	84.21	0	0.5	1.1	1.6	0.3	0.3	0.1	0.3	1.1	5.2	0	0	-0.6	"Center"	NA	NA	"#1B9E77"	"#008348"
"62"	"BOS"	258	"Vincent Poirier"	26	21	18	3	5.4	1.9	0.8	1.6	48.5	1.5	0.8	53.33	0.1	0	50	93.75	6.25	0.3	0.3	85.7	15.79	84.21	0	0.5	1.1	1.6	0.3	0.3	0.1	0.3	1.1	5.2	0	0	-0.6	"Forward"	NA	NA	"#D95F02"	"#008348"
"63"	"BOS"	58	"Marcus Smart"	26	53	34	19	32.5	13.5	4.5	11.9	38	5	2.1	42	6.9	2.4	34.8	42.02	57.98	2	2.4	83.5	14.81	31.11	53.33	0.8	3.1	3.8	4.8	1.7	1.6	0.5	2.7	30.1	3	0	4.5	"Guard"	203935	86	"#7570B3"	"#008348"
"64"	"BOS"	106	"Daniel Theis"	27	58	37	21	23.8	9.3	3.7	6.6	56.5	5.2	3.3	63.46	1.4	0.4	32.1	78.79	21.21	1.4	1.8	76.4	15.05	70.97	12.9	2.2	4.3	6.6	1.6	0.8	0.6	1.3	3.5	24.5	5	0	3.4	"Forward"	1628464	155	"#D95F02"	"#008348"
"65"	"BOS"	218	"Grant Williams"	21	62	43	19	15.6	3.5	1.3	3.1	41.7	1.7	1	58.82	1.4	0.3	24.7	54.84	45.16	0.6	0.8	72.5	17.14	57.14	25.71	0.9	1.7	2.7	1	0.7	0.5	0.5	2.4	10.4	0	0	2.4	"Forward"	1629684	258	"#D95F02"	"#008348"
"66"	"BOS"	87	"Tacko Fall"	24	6	5	1	4	3.2	1.5	2	75	2	1.5	75	0	0	0	100	0	0.2	0.5	33.3	6.25	93.75	0	0	1.8	1.8	0	0.5	0	0.3	0.8	5.9	0	0	1.2	"Center"	NA	NA	"#1B9E77"	"#008348"
"67"	"BOS"	15	"Kemba Walker"	29	50	33	17	31.8	21.2	7	16.6	42.1	7.8	3.7	47.44	8.8	3.3	37.7	46.99	53.01	3.9	4.5	86.7	18.4	34.91	46.7	0.7	3.4	4.1	4.9	2.1	0.9	0.5	1.5	35.7	2	0	4.8	"Guard"	202689	21	"#7570B3"	"#008348"
"68"	"BOS"	146	"Brad Wanamaker"	30	63	43	20	19.3	6.6	2.2	5	42.8	3.6	1.7	47.22	1.4	0.5	36.7	72	28	1.7	1.8	93.1	25.76	51.52	22.73	0.3	1.7	2	2.5	1.1	0.8	0.2	1.9	14.6	0	0	1	"Guard"	202954	209	"#7570B3"	"#008348"
"69"	"BOS"	217	"Tremont Waters"	22	10	8	2	8.9	3.3	1.2	3.5	34.3	1.8	0.9	50	1.7	0.3	17.6	51.43	48.57	0.6	0.6	100	18.18	54.55	27.27	0	0.9	0.9	1.2	1	0.5	0.2	1.1	7.3	0	0	2.7	"Guard"	NA	NA	"#7570B3"	"#008348"
"70"	"BOS"	81	"Robert Williams III"	22	23	15	8	14	4.3	1.8	2.7	67.7	2.7	1.8	66.67	0	0	0	100	0	0.6	1.1	56	13.95	83.72	0	1.5	3.2	4.7	1	0.9	0.9	1.2	1.7	16.7	0	0	-0.2	"Center"	NA	NA	"#1B9E77"	"#008348"
"71"	"BOS"	203	"Robert Williams III"	22	23	15	8	14	4.3	1.8	2.7	67.7	2.7	1.8	66.67	0	0	0	100	0	0.6	1.1	56	13.95	83.72	0	1.5	3.2	4.7	1	0.9	0.9	1.2	1.7	16.7	0	0	-0.2	"Forward"	NA	NA	"#D95F02"	"#008348"
"72"	"BOS"	235	"Javonte Green"	26	44	30	14	9.4	2.9	1.1	2.2	50	1.7	1	58.82	0.5	0.1	26.1	77.27	22.73	0.5	0.8	63.9	17.24	68.97	10.34	0.4	1.4	1.8	0.5	0.4	0.5	0.2	0.8	7.5	0	0	-0.1	"Forward"	NA	NA	"#D95F02"	"#008348"
"73"	"BOS"	227	"Romeo Langford"	20	27	19	8	11	2.6	0.9	2.4	37.5	1.5	0.7	46.67	0.9	0.2	21.7	62.5	37.5	0.6	0.9	69.6	23.08	53.85	23.08	0.5	0.7	1.2	0.2	0.3	0.3	0.2	1.1	5.5	0	0	1.8	"Guard"	NA	NA	"#7570B3"	"#008348"
