"Player"	"TEAM"	"AGE"	"FGM"	"FGA"	"FG."	"FGM.1"	"FGA.1"	"FG..1"	"FGM.2"	"FGA.2"	"FG..2"	"FGM.3"	"FGA.3"	"FG..3"	"FGM.4"	"FGA.4"	"FG..4"	"FGM.5"	"FGA.5"	"FG..5"	"YEAR"
"204"	"Jacob Evans"	"MIN"	22	0.3	0.8	36.4	0	0.3	12.5	0.3	0.8	34.8	0.5	1.3	38.9	0.1	0.6	23.5	0.4	1	37	"2019-20"
"205"	"Jae Crowder"	"MIA"	29	1.2	1.9	62.4	0.1	0.2	25	0	0.2	20	0.1	0.3	47.1	0.8	2.4	35	1.2	3.8	30.3	"2019-20"
"206"	"Jahlil Okafor"	"NOP"	24	2.4	3.7	65.4	0.6	1.1	53.1	0.1	0.2	33.3	0	0	0	0	0	0	0	0.1	50	"2019-20"
"207"	"Jake Layman"	"MIN"	26	1.9	3.2	58.1	0.2	0.6	28.6	0.2	0.3	57.1	0.2	0.3	66.7	0.5	1.4	33.3	0.7	1.9	34.1	"2019-20"
"208"	"Jakob Poeltl"	"SAS"	24	1.8	2.8	65.4	0.3	0.6	50	0.2	0.3	57.9	0	0	0	0	0	0	0	0	0	"2019-20"
"209"	"Jalen Brunson"	"DAL"	23	1.1	1.8	59.8	0.6	1.2	47.7	0.4	0.8	51.1	0.3	0.9	39.6	0.4	1	41.4	0.4	1.2	31.9	"2019-20"
"210"	"Jalen Lecque"	"PHX"	19	0.8	1	75	0	0	0	0.5	0.5	100	0	0.3	0	0	0.5	0	0	0.7	0	"2019-20"
"211"	"Jalen McDaniels"	"CHA"	22	1.1	1.9	60	0.2	0.7	30	0.1	0.4	40	0.1	0.1	100	0.4	0.9	42.9	0.2	0.6	33.3	"2019-20"
"212"	"Jamal Murray"	"DEN"	23	2.3	3.7	61.4	0.6	1.3	44.4	0.8	1.7	44.7	1.1	2.7	43.2	1.2	2.8	41.8	1.1	3.2	33.9	"2019-20"
"213"	"James Ennis III"	"ORL"	29	1.2	2.1	59.1	0	0.1	22.2	0	0.1	12.5	0	0.1	25	0.5	1.2	42.3	0.3	1.1	26.1	"2019-20"
"214"	"James Harden"	"HOU"	30	4.2	7	60	1	2.5	38.7	0.1	0.4	34.8	0.1	0.2	63.6	0.4	1.3	32.9	3.9	10.9	35.5	"2019-20"
"215"	"James Johnson"	"MIN"	33	2	3.2	61.8	0.1	0.4	36.4	0	0.2	14.3	0.1	0.1	50	0.3	0.9	32.1	0.8	1.8	41.4	"2019-20"
"216"	"Jared Dudley"	"LAL"	34	0.1	0.3	25	0	0	0	0	0	0	0	0.1	25	0.2	0.3	60	0.2	0.6	39.1	"2019-20"
"217"	"Jared Harper"	"PHX"	22	0	0.3	0	0.5	0.5	100	0	0	0	0	0	0	0	0.3	0	0	0.3	0	"2019-20"
"218"	"Jaren Jackson Jr."	"MEM"	20	2.6	4.2	63.6	0.7	2	36.8	0.1	0.4	33.3	0.1	0.1	50	0.8	2	39.8	1.6	4.1	39.7	"2019-20"
